tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0050212|movie|The Bridge on the River Kwai|1957|161|Adventure,Drama,War|The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.|10/2/57|It spans a whole new world of entertainment!|8.2|221182
tt0051378|movie|Elevator to the Gallows|1958|91|Crime,Drama,Thriller|The feature-film debut of famed director Louis Malle is an interesting, modern film noir with the classic theme of lovers plotting to kill the husband and make it look like suicide (reminiscent of The Postman Always Rings Twice). Jeanne Moreau gives an astonishing performance, perverse but naive as she leads her young lover down a path that can only lead to doom for both of them.|1/29/58|Frantic for life and love - Frantic for excitement|7.9|26087
tt0052311|movie|Touch of Evil|1958|95|Crime,Drama,Film-Noir|Stark, perverse story of murder, kidnapping, and police corruption in Mexican border town.|4/23/58|THE STRANGEST VENGEANCE EVER PLANNED!|8.0|105019
tt0053290|movie|Solomon and Sheba|1959|141|Drama,History,Romance|Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.|12/25/59|Only once in 3000 years...anything like...|6.1|3378
tt0053793|movie|Elmer Gantry|1960|146|Drama|An ex-football player becomes a popular evangelist in the 1920s Midwest.|6/19/60|If there was a dollar to be made - Gantry would make it... If there was a soul to be saved - Gantry would save it...|7.7|11855
tt0053804|movie|Exodus|1960|208|Action,Drama,History|The theme is the founding of the state of Israel. The action begins on a ship filled with Jewish immigrants bound for Israel who are being off loaded on Cyprus. An Intelligence officer succeeds in getting them back on board their ship only to have the harbor blocked by the British with whom they must negotiate. The second part deals with declaring independence and the resulting warring.|3/27/60||6.7|10119
tt0056193|movie|Lolita|1962|153|Crime,Drama,Romance|Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.|6/13/62|How did they ever make a movie of ...|7.5|102290
tt0056262|movie|The Music Man|1962|151|Comedy,Family,Musical|A con man comes to an Iowa town with a scam using a boy's marching band program, but things don't go according to plan.|6/19/62|The story of that man and his 76 trombones, and the wonderful, wonderful tune he played on every heart in town!|7.8|17715
tt0056875|movie|Blood Feast|1963|67|Horror|In the sleepy suburbs of Miami, seemingly normal Egyptian immigrant Fuad Ramses (Mal Arnold) runs a successful catering business. He also murders young women and plans to use their body parts to revive the goddess Ishtar. The insane Ramses hypnotizes a socialite in order to land a job catering a party for her debutante daughter, Suzette Fremont (Connie Mason), and turns the event into an evening of gruesome deaths, bloody dismemberment and ritual sacrifice.|6/6/63|You'll Recoil and Shudder as You Witness the Slaughter and Mutilation of Nubile Young Girls - in a Weird and Horrendous Ancient Rite!|5.0|6837
tt0057413|movie|The Pink Panther|1963|115|Comedy,Crime,Romance|The trademark of The Phantom, a renowned jewel thief, is a glove left at the scene of the crime. Inspector Clouseau, an expert on The Phantom's exploits, feels sure that he knows where The Phantom will strike next and leaves Paris for Switzerland, where the famous Lugashi jewel 'The Pink Panther' is going to be. However, he does not know who The Phantom really is, or for that matter who anyone else really is...|12/19/63|A Madcap Frolic Of Crime and Fun|7.0|52751
tt0058150|movie|Goldfinger|1964|110|Action,Adventure,Thriller|Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.|9/17/64|Everything he touches turns into excitement!|7.7|191449
tt0058182|movie|A Hard Day's Night|1964|87|Comedy,Musical|Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.|7/6/64|The Beatles, starring in their first full-length, hilarious, action-packed film!|7.5|45565
tt0058329|movie|Marnie|1964|130|Crime,Drama,Mystery|Marnie is a beautiful kleptomaniac who is in love with businessman Mark Rutland. Marnie who is a compulsive thief is being watched by her new boss Mark who suspects her of stealing from him and thus decides to blackmail her in the most unusual way. A psychological thriller from Alfred Hitchcock based on a novel of the same name by Winston Graham.|7/9/64|Thief... Liar... Cheat... she was all of these and he knew it!|7.1|50063
tt0058946|movie|The Battle of Algiers|1966|121|Drama,War|Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.|9/8/66|The Revolt that Stirred the World!|8.1|60579
tt0059037|movie|The Cincinnati Kid|1965|102|Drama|An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.|10/15/65|He'd take on anyone, at anything, anytime.|7.2|16929
tt0059113|movie|Doctor Zhivago|1965|197|Drama,Romance,War|Doctor Zhivago is the filmed adapation of the Russian novel by Boris Pasternak from director David Lean that was an international success and today deemed a classic. Omar Sharif and Julie Christie play two protagonists who in fact love each other yet because of their current situation cannot find a way be together.|12/22/65|Turbulent were the times and fiery was the love story of Zhivago, his wife and the passionate, tender Lara.|7.9|77149
tt0059418|movie|Major Dundee|1965|123|Adventure,War,Western|During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas.|4/7/65||6.7|8188
tt0061420|movie|The Born Losers|1967|113|Action,Drama,Thriller|A ruthless motorcycle gang rides into a California town and terrorizes its denizens.|8/18/67|An innocent girl is first prize in the dirtiest game ever played!|5.9|2512
tt0061473|movie|La Chinoise|1967|95|Comedy,Drama|A small group of French students are studying Mao, trying to find out their position in the world and how to change the world to a Maoistic community using terrorism.|8/30/67||6.9|7442
tt0061584|movie|Doctor Dolittle|1967|152|Adventure,Comedy,Family|Get ready for the wildest adventure of a lifetime in the most ambitious production ever brought to film. Earning a 1967 Academy Award nomination for Best Picture, this dazzling fantasy turns both ordinary and exotic animals into talking, dancing and singing sensations! Rex Harrison is unforgettable in this inspiring adaptation of Hugh Lofting's classic stories.Step into the English country home of the good doctor as he performs remarkable treatments on the wildest variety of patients you could imagine. Discover his secret cures and watch with wide-eyed excitement as he and his four-legged, fine-feathered friends charm their way into your heart!|12/19/67|Ride across the sea inside the GIANT PINK SEA SNAIL!|6.2|9661
tt0061619|movie|El Dorado|1966|126|Drama,Romance,Western|Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.|12/17/66|It's The Big One With The Big Two!|7.5|27591
tt0062137|movie|The Oldest Profession|1967|119|Comedy,Drama|"""A collection of sketches on prostitution through the ages. 1) """"The Prehistoric Era"""": A caveman discovers that a cavewoman is more attractive when cave paint is applied to her face. And she can earn more seashells that way. 2) """"Roman Nights"""": The Emperor goes out seeking a little nocturnal amusement, only to find that the high-priced, Oriental courtesan he hires is his wife, the Empress. 3) """"Mademoiselle Mimi"""": In revolutionary France, Mimi finds that her client, the nephew of a marquis, is more interested in watching the guillotinings out her window than he is in going to bed. 4) """"The Gay Nineties"""": When Nini discovers by accident that her antiquated customer is a banker, she pretends to be an honest woman who has fallen in love with him. She even pays him, just like a gigolo! 5) """"Paris Today"""": Two girls pick up clients by driving around in a car..."""|4/21/67||5.4|532
tt0062138|movie|Point Blank|1967|92|Crime,Drama,Thriller|After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him.|8/30/67|There are two kinds of people in his up-tight world: his victims and his women. And sometimes you can't tell them apart.|7.3|21409
tt0063522|movie|Rosemary's Baby|1968|137|Drama,Horror|A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.|6/12/68|Pray for Rosemary's Baby|8.0|217851
tt0063592|movie|Shalako|1968|113|Western|Sean Connery is Shalako, a guide in the old West who has to rescue an aristocratic British hunting party from Indians and bandits.|11/6/68|Sean Connery is Shalako! Shalako means action! Action means Bardot!|5.6|3175
tt0064782|movie|Paint Your Wagon|1969|164|Comedy,Drama,Musical|A Michigan farmer and a prospector form a partnership in the California gold country. Their adventures include buying and sharing a wife, hijacking a stage, kidnapping six prostitutes, and turning their mining camp into a boom town. Along the way there is plenty of drinking, gambling, and singing. They even find time to do some creative gold mining.|10/15/69|Stake Your Claim To The Musical Goldmine of '69!|6.6|13889
tt0065112|movie|Topaz|1969|143|Drama,Thriller|A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.|12/18/69|Hitchcock takes you behind the actual headlines to expose the most explosive spy scandal of the century!|6.2|18493
tt0065198|movie|The Wedding Party|1969|92|Comedy|See Robert DeNiro in his first starring role in Brian DePalma's wildly comic first feature The Wedding Party!|4/9/69|You are cordially invited to join the confusion at...|4.7|1354
tt0065775|movie|Getting Straight|1970|124|Comedy,Drama,Romance|Graduate student Harry Bailey was once one of the most visible undergraduate activists on campus, but now that he's back studying for his master's, he's trying to fly right. Trouble is, the campus is exploding with various student movements, and Harry's girlfriend, Jan, is caught up in most of them. As Harry gets closer to finishing his degree, he finds his iconoclastic attitude increasingly aligned with the students rather than the faculty.|5/13/70|America's children lay it on the line.|6.4|1486
